Number of AMIs,Number of Services,AMIs Model Creation (ms),AMIs Evaluation (ms),Services Model Creation (ms),Services Evaluation (ms),Combination Computation (ms),Total (ms)
100,100,36,49,136,74,49,344
100,200,4,15,76,167,93,355
100,300,2,10,99,428,27,566
100,400,3,7,136,949,15,1110
100,500,1,6,170,1787,21,1985
100,600,1,5,206,3424,34,3670
100,700,1,4,331,5576,31,5943
100,800,1,5,349,8586,39,8980
100,900,1,4,457,12334,48,12844
100,1000,1,6,532,16997,52,17588
200,100,4,32,6,40,7,89
200,200,5,34,34,112,24,209
200,300,4,32,61,375,25,497
200,400,9,32,120,861,39,1061
200,500,3,37,167,1695,71,1973
200,600,4,36,204,3132,79,3455
200,700,3,33,253,5660,104,6053
200,800,6,33,352,8810,121,9322
200,900,3,33,448,12731,117,13332
200,1000,4,69,508,17113,146,17840
300,100,51,107,6,36,11,211
300,200,8,111,23,109,26,277
300,300,14,105,57,365,60,601
300,400,8,121,117,882,72,1200
300,500,15,104,138,1727,105,2089
300,600,14,105,244,3269,119,3751
300,700,12,105,304,5546,140,6107
300,800,47,105,358,8699,206,9415
300,900,56,109,468,12506,236,13375
300,1000,10,137,509,17309,276,18241
400,100,41,254,6,15,14,330
400,200,25,255,28,112,42,462
400,300,19,254,63,364,79,779
400,400,34,246,123,861,104,1368
400,500,22,245,130,1745,171,2313
400,600,15,268,188,3184,212,3867
400,700,18,273,259,5957,219,6726
400,800,69,260,351,8776,310,9766
400,900,38,270,447,12637,331,13723
400,1000,62,276,535,17319,472,18664
500,100,86,495,6,16,20,623
500,200,29,483,23,114,56,705
500,300,32,485,60,364,95,1036
500,400,29,505,99,857,140,1630
500,500,73,500,173,1714,191,2651
500,600,81,484,186,3273,279,4303
500,700,47,518,251,5639,330,6785
500,800,54,506,398,8656,344,9958
500,900,83,503,426,12378,426,13816
500,1000,129,475,486,17566,539,19195
600,100,94,962,6,18,30,1110
600,200,55,1017,22,116,103,1313
600,300,83,988,43,366,117,1597
600,400,83,900,114,851,178,2126
600,500,92,895,165,1732,266,3150
600,600,88,937,221,3302,366,4914
600,700,95,909,282,5693,405,7384
600,800,93,961,437,8732,491,10714
600,900,109,934,445,12509,552,14549
600,1000,152,914,518,17497,693,19774
700,100,103,1584,6,14,31,1738
700,200,61,1590,23,111,91,1876
700,300,80,1604,60,361,175,2280
700,400,92,1555,101,864,236,2848
700,500,104,1564,164,1708,321,3861
700,600,106,1577,220,3185,402,5490
700,700,140,1539,269,5545,471,7964
700,800,131,1553,305,8667,621,11277
700,900,122,1543,421,12281,706,15073
700,1000,115,1576,491,17017,842,20041
800,100,125,2485,6,14,45,2675
800,200,99,2453,25,113,122,2812
800,300,110,2479,62,364,206,3221
800,400,132,2470,105,861,285,3853
800,500,125,2471,159,1705,354,4814
800,600,144,2497,225,3183,491,6540
800,700,137,2464,251,5568,601,9021
800,800,146,2480,322,8752,746,12446
800,900,164,2495,420,12958,851,16888
800,1000,161,2486,505,16947,982,21081
900,100,168,3566,6,15,47,3802
900,200,106,3541,23,110,132,3912
900,300,138,3522,59,361,221,4301
900,400,134,3515,105,857,314,4925
900,500,175,3502,157,1683,456,5973
900,600,126,3735,193,3219,563,7836
900,700,150,3593,266,5648,750,10407
900,800,162,3644,449,8745,836,13836
900,900,197,3629,451,12397,988,17662
900,1000,190,3601,548,17133,1136,22608
1000,100,213,4919,6,16,56,5210
1000,200,130,4919,23,110,159,5341
1000,300,183,5306,119,520,601,6729
